--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
100.140  002.184  000.123: require('luasnip.loaders.from_vscode')
101.002  000.312  000.312: require('lspconfig.util')
101.515  000.859  000.547: sourcing /Users/mattjennings/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
101.517  000.894  000.035: sourcing nvim_exec2() called at BufNewFile Autocommands for "*":0
101.552  000.001  000.001: sourcing nvim_exec2() called at BufNewFile Autocommands for "*":0
101.557  000.001  000.001: sourcing nvim_exec2() called at BufNewFile Autocommands for "*":0
131.319  000.059  000.059: require('lspconfig.async')
131.327  000.134  000.075: require('lspconfig.configs')
131.334  000.224  000.090: require('lspconfig')
131.462  000.070  000.070: require('vim.iter')
131.485  000.148  000.079: require('lspconfig.configs.lua_ls')
131.637  000.061  000.061: require('lspconfig.manager')
131.694  000.055  000.055: require('lspconfig.configs.pyright')
132.083  000.069  000.069: require('vim.lsp.completion')
132.136  000.192  000.123: require('vim.lsp.handlers')
132.141  000.252  000.060: require('lspconfig.configs.jdtls')
132.250  000.060  000.060: require('lspconfig.configs.clangd')
132.343  000.055  000.055: require('lspconfig.configs.ts_ls')
132.432  000.054  000.054: require('lspconfig.configs.html')
132.508  000.054  000.054: require('lspconfig.configs.cssls')
132.586  000.052  000.052: require('lspconfig.configs.gopls')
133.157  000.057  000.057: require('nvim-treesitter.utils')
133.645  000.487  000.487: require('nvim-treesitter.parsers')
133.877  000.053  000.053: require('nvim-treesitter.compat')
133.990  000.060  000.060: require('nvim-treesitter.ts_utils')
133.993  000.115  000.055: require('nvim-treesitter.tsrange')
134.043  000.049  000.049: require('nvim-treesitter.caching')
134.048  000.279  000.061: require('nvim-treesitter.query')
